BirdID,BandID,LPDV,name,mean,lower,upper,Rhat,n.eff,Status
8260_2023,8260,0,int_2,3.721739911,3.62882195,3.811157035,1.000392158,28520,1
8260_2023,8260,0,sigma_1,0.280822494,0.230478913,0.334148763,1.000073268,25001,1
8261_2022,8261,0,cp_1,89.90124305,89.00271875,90.87568563,1.000060885,19932,0
8261_2022,8261,0,int_1,0.582728069,0.454036426,0.718359823,1.000165438,23904,0
8261_2022,8261,0,int_2,2.515846723,2.387718594,2.644348243,1.000009417,26036,0
8261_2022,8261,0,sigma_1,0.350115612,0.287782779,0.416809025,1.000011865,24435,0
8262_2022,8262,1,cp_1,66.48505749,66.00222766,66.96385486,1.000174508,24155,0
8262_2022,8262,1,int_1,1.11047697,0.915318128,1.306432305,1.000093747,27629,0
8262_2022,8262,1,int_2,0.368791491,0.307032811,0.429246368,1.000198553,26595,0
8262_2022,8262,1,sigma_1,0.220953506,0.179970553,0.264318665,1.000065736,22623,0
8405_2022,8405,1,cp_1,112.2838214,111.0000087,113.8433136,1.000180718,14468,0
8405_2022,8405,1,int_1,1.535525481,1.425125722,1.640018355,1.000107654,26158,0
8405_2022,8405,1,int_2,3.544803527,3.172253893,3.926145511,1.000109673,15740,0
8405_2022,8405,1,sigma_1,0.481071037,0.412744664,0.555293719,1.000761742,25057,0
8407_2022,8407,1,cp_1,42.81935838,42.00002114,43.93450587,1.001339329,14996,0
8407_2022,8407,1,int_1,0.370787836,0.140782187,0.604104649,0.999989355,24408,0
8407_2022,8407,1,int_2,1.376822644,1.276484728,1.47376319,1.000105248,27771,0
8407_2022,8407,1,sigma_1,0.390552698,0.328033448,0.458001207,1.000147336,23746,0
8408_2022,8408,1,cp_1,44.43890848,43.00304545,45.92498516,1.000492717,9301,0
8408_2022,8408,1,int_1,0.389596108,0.133673422,0.642188792,1.000395673,14473,0
8408_2022,8408,1,int_2,2.038956267,1.943311032,2.133004941,1.000002111,26007,0
8408_2022,8408,1,sigma_1,0.411804382,0.352262612,0.476194351,1.000065378,23874,0
8451_2022,8451,1,cp_1,94.50809431,94.04571452,94.99974306,1.000030189,28306,1
8451_2022,8451,1,int_1,0.516734748,0.431048569,0.60074503,0.999995374,27661,1
8451_2022,8451,1,int_2,2.660020901,2.528342112,2.79011054,1.000018348,27716,1
8451_2022,8451,1,sigma_1,0.340324562,0.291980322,0.393803109,1.000638939,23957,1
8453_2022,8453,1,cp_1,96.5004111,96.03645939,96.98724149,1.000131353,31177,1
8453_2022,8453,1,int_1,0.545899476,0.436213473,0.653809335,1.000220173,27256,1
8453_2022,8453,1,int_2,3.522080324,3.344047929,3.69818284,1.00009305,27428,1
8453_2022,8453,1,sigma_1,0.442302009,0.378833255,0.509713054,1.00009624,24489,1
8455_2022,8455,0,cp_1,106.450963,106.0032659,106.9994824,1.000012154,18118,1
8455_2022,8455,0,int_1,0.870577374,0.750835561,0.992372094,1.000068737,27115,1
8455_2022,8455,0,int_2,4.112935172,3.824430152,4.397174737,1.00001,24690,1
8455_2022,8455,0,sigma_1,0.52898518,0.453190699,0.611615881,1.000128998,25362,1
8456_2022,8456,0,cp_1,90.71422239,89.97040073,91.99992642,1.000326475,17959,1
8456_2022,8456,0,int_1,0.855601802,0.577504185,1.141420326,1.000187307,26760,1
8456_2022,8456,0,int_2,3.319249902,2.919926568,3.726818505,1.000092246,27838,1
