BirdID,name,mean,lower,upper,Rhat,n.eff
8217_2022,int_1,0.778458105,0.528478768,1.055224588,1.000717314,3164
8217_2022,int_2,2.006564684,1.921295384,2.092643051,1.000136099,12732
8217_2022,sigma_1,0.332488407,0.278830045,0.38924274,0.999997704,18056
8220_2023,cp_1,75.49932716,75.01206354,75.96131505,1.000003032,32070
8220_2023,int_1,1.308474922,0.850219906,1.736817805,1.000079638,28029
8220_2023,int_2,14.75489841,14.39264314,15.13611908,1.00002846,27523
8220_2023,sigma_1,1.25905733,1.057448988,1.472984989,1.000048608,24808
8223_2022,cp_1,93.38447988,79.55968569,98.9989033,1.006521351,724
8223_2022,int_1,0.777592714,0.515436694,1.01383025,1.002668836,1357
8223_2022,int_2,2.405669238,1.929329674,2.744563692,1.003689757,1264
8223_2022,sigma_1,0.504416712,0.41172734,0.604760782,1.000851373,12940
8223_2023,cp_1,113.4830699,113.0212199,113.9880275,1.000041068,21610
8223_2023,int_1,0.885665173,0.741841524,1.029603519,1.000010057,27342
8223_2023,int_2,7.538458456,7.064981315,7.999967062,1.000191131,23499
8223_2023,sigma_1,0.60720653,0.509345967,0.708668018,1.000126014,23331
8224_2022,cp_1,54.49743265,54.00011917,54.95783111,1.000572256,25558
8224_2022,int_1,0.707269299,0.531266078,0.88536133,1.000103901,26981
8224_2022,int_2,1.96275408,1.894439479,2.029904115,1.000122494,26742
8224_2022,sigma_1,0.268596041,0.224294791,0.315762118,0.999986783,24479
8225_2022,cp_1,78.50429749,78.01420577,78.99393925,1.000089974,21038
8225_2022,int_1,0.646688032,0.548994321,0.746723534,1.000052734,27234
8225_2022,int_2,1.4668228,1.380289378,1.55357418,0.99999242,27970
8225_2022,sigma_1,0.249012809,0.20404964,0.298270617,1.000085089,21802
8225_2023,cp_1,73.24796043,70.96657553,76.90474381,1.000090051,16754
8225_2023,int_1,0.42252272,0.292647036,0.552507054,1.000200011,24316
8225_2023,int_2,0.974681983,0.874917284,1.075978799,0.999999723,25243
8225_2023,sigma_1,0.343140099,0.289141839,0.400336927,1.000107826,23401
8226_2022,cp_1,78.50659686,78.03019431,78.98586604,1.000084283,28897
8226_2022,int_1,0.424979557,0.340815461,0.507811299,1.000020578,27369
8226_2022,int_2,1.27373042,1.205138874,1.342036335,1.00007764,28476
8226_2022,sigma_1,0.212260043,0.175976108,0.251192972,0.999982672,24501
8260_2022,cp_1,113.4757671,112.0010488,114.5432611,1.000256113,18552
8260_2022,int_1,0.588274782,0.448931936,0.727560827,1.000263071,27253
8260_2022,int_2,2.101132679,1.71539274,2.486293453,1.000253265,23257
8260_2022,sigma_1,0.498450861,0.407593067,0.596139014,1.000160108,21065
8260_2023,cp_1,83.49813003,83.01754116,83.96522965,1.000083209,30820
8260_2023,int_1,0.514158517,0.400431774,0.632837769,1.000033713,29018
8260_2023,int_2,3.721739911,3.62882195,3.811157035,1.000392158,28520
8260_2023,sigma_1,0.280822494,0.230478913,0.334148763,1.000073268,25001
8261_2022,cp_1,89.90124305,89.00271875,90.87568563,1.000060885,19932
