BandID,BirdID,age,studyarea,captyr,Yr,name,mean,upper,lower,LPDV,Status,yrsincecap
8451,8451_2022,0,5C,2022,2022,int_2,2.660020901,2.79011054,2.528342112,1,1,0
8451,8451_2022,0,5C,2022,2022,sigma_1,0.340324562,0.393803109,0.291980322,1,1,0
8453,8453_2022,0,5C,2022,2022,cp_1,96.5004111,96.98724149,96.03645939,1,1,0
8453,8453_2022,0,5C,2022,2022,int_1,0.545899476,0.653809335,0.436213473,1,1,0
8453,8453_2022,0,5C,2022,2022,int_2,3.522080324,3.69818284,3.344047929,1,1,0
8453,8453_2022,0,5C,2022,2022,sigma_1,0.442302009,0.509713054,0.378833255,1,1,0
8455,8455_2022,1,5C,2022,2022,cp_1,106.450963,106.9994824,106.0032659,0,1,0
8455,8455_2022,1,5C,2022,2022,int_1,0.870577374,0.992372094,0.750835561,0,1,0
8455,8455_2022,1,5C,2022,2022,int_2,4.112935172,4.397174737,3.824430152,0,1,0
8455,8455_2022,1,5C,2022,2022,sigma_1,0.52898518,0.611615881,0.453190699,0,1,0
8456,8456_2022,1,5C,2022,2022,cp_1,90.71422239,91.99992642,89.97040073,0,1,0
8456,8456_2022,1,5C,2022,2022,int_1,0.855601802,1.141420326,0.577504185,0,1,0
8456,8456_2022,1,5C,2022,2022,int_2,3.319249902,3.726818505,2.919926568,0,1,0
8456,8456_2022,1,5C,2022,2022,sigma_1,1.105490125,1.276358861,0.945533654,0,1,0
8460,8460_2022,0,5C,2022,2022,cp_1,89.94595627,90.99999106,88.05147371,1,0,0
8460,8460_2022,0,5C,2022,2022,int_1,0.405526661,0.463024287,0.346597492,1,0,0
8460,8460_2022,0,5C,2022,2022,int_2,0.929597869,1.011619682,0.850624319,1,0,0
8460,8460_2022,0,5C,2022,2022,sigma_1,0.21888792,0.252988005,0.185921714,1,0,0
